STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,SERIES,SDG Series,REF_AREA,Area,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,PRODUCT,Products,BIOCLIMATIC_BELT,Bioclimatic Belt,UNIT_MEASURE,Unit measure,URBANISATION,Urbanisation,LAND_COVER,Land Cover,PRICE_SEVERITY_LEVEL,Severity of price level,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,BASE_PER,Base period,NATURE,Nature of data points,TIME_DETAIL,Time detail,COMMENT_OBS,Comment,UPPER_BOUND,Upper bound,LOWER_BOUND,Lower bound,SOURCE_DETAIL,Source,INDICATOR,Indicator,REF_AREA_ISO2,ISO2,REF_AREA_ISO3,ISO3,REF_AREA_TYPE,Reference area type,REF_PERIOD,Reference Period
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],001,World,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,101.2,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],001,World,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,98.27,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],145,Western Asia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,112.54,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],145,Western Asia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,97.81,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],057,Micronesia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,96.73,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],057,Micronesia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,98.77,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],722,Small Island Developing States (SIDS),_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,104.73,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.3,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],722,Small Island Developing States (SIDS),_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,100.05,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.3,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],155,Western Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,103.64,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],155,Western Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,103.19,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],062,Central Asia and Southern Asia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,94.91,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],062,Central Asia and Southern Asia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,88.7,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],747,Western Asia and Northern Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,106.31,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],747,Western Asia and Northern Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,100.17,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],513,Northern America and Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,106.53,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],513,Northern America and Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,100.94,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],053,Australia and New Zealand,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,104.25,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],053,Australia and New Zealand,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,101.41,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],543,Oceania excluding Australia and New Zealand,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,107.44,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],543,Oceania excluding Australia and New Zealand,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,100.98,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],039,Southern Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,104.18,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],039,Southern Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,101.36,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],018,Southern Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,103.05,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],018,Southern Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,99.62,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],009,Oceania,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,,,0,Units,O,Missing value,,,_X,Not Available,2020,,NaN = A figure was not provided,,,,,,NA,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],009,Oceania,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,,,0,Units,O,Missing value,,,_X,Not Available,2021,,NaN = A figure was not provided,,,,,,NA,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],015,Northern Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,100.38,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],015,Northern Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,102.48,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],054,Melanesia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,107.49,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],054,Melanesia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,100.84,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],199,Least Developed Countries (LDCs),_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,102.62,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.3,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],199,Least Developed Countries (LDCs),_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,99.9,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.3,,,
