Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2001,31.9
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2002,33.4
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2003,34.7
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2004,31.8
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2005,28.2
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2006,26.0
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2007,26.9
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2008,26.9
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2009,24.4
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2010,21.7
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2011,19.8
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2012,18.9
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2013,18.7
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2014,18.8
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2015,20.5
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2016,21.8
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,23.2
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2018,22.6
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2019,23.4
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2020,26.0
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2021,31.1
Kenya,KEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2022,34.5
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2001,37.7
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2002,34.4
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2003,33.8
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2004,36.2
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2005,36.9
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2006,36.8
Rwanda,RWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2007,36.6
